Date,Value,Open,High,Low,Vol.,Change %
08/25/2011,1771.60,1750.35,1774.90,1703.45,,1.17%
08/24/2011,1751.05,1830.05,1854.11,1749.89,,-4.32%
08/23/2011,1830.15,1897.84,1911.96,1823.50,,-3.58%
08/22/2011,1898.10,1859.89,1901.19,1858.20,,2.46%
08/19/2011,1852.45,1824.35,1877.50,1821.35,,1.54%
08/18/2011,1824.35,1789.64,1829.00,1784.34,,2.00%
08/17/2011,1788.65,1786.75,1794.90,1779.39,,0.13%
08/16/2011,1786.30,1766.30,1788.20,1761.99,,1.18%
08/15/2011,1765.50,1746.25,1766.44,1728.01,,1.08%
08/12/2011,1746.60,1763.96,1768.30,1723.55,,-1.20%
08/11/2011,1767.90,1796.50,1815.79,1734.10,,-1.51%
08/10/2011,1795.00,1743.90,1797.36,1740.00,,2.93%
08/09/2011,1743.90,1717.35,1778.79,1714.75,,1.55%
08/08/2011,1717.35,1662.75,1720.49,1662.67,,3.14%
08/05/2011,1665.00,1648.40,1670.10,1642.40,,1.01%
08/04/2011,1648.40,1661.20,1682.17,1640.09,,-0.77%
08/03/2011,1661.20,1659.75,1673.15,1652.00,,0.09%
08/02/2011,1659.75,1620.32,1661.05,1616.29,,2.45%
08/01/2011,1620.10,1628.14,1633.66,1609.69,,-0.40%
07/29/2011,1626.64,1616.05,1632.80,1610.64,,0.61%
07/28/2011,1616.85,1613.50,1620.10,1603.40,,0.21%
07/27/2011,1613.50,1618.49,1628.50,1608.96,,-0.36%
07/26/2011,1619.30,1614.55,1620.49,1608.29,,0.29%
07/25/2011,1614.55,1599.28,1622.99,1599.28,,0.96%
07/22/2011,1599.25,1592.98,1609.01,1585.36,,0.59%
07/21/2011,1589.90,1598.58,1606.16,1586.59,,-0.76%
07/20/2011,1602.10,1589.85,1603.69,1583.00,,0.87%
07/19/2011,1588.35,1605.30,1610.01,1582.59,,-1.06%
07/18/2011,1605.40,1595.45,1609.01,1593.59,,0.71%
07/15/2011,1594.10,1588.75,1595.65,1577.81,,0.43%
07/14/2011,1587.25,1582.25,1594.66,1579.30,,0.32%
07/13/2011,1582.25,1566.95,1587.96,1564.35,,0.96%
07/12/2011,1567.20,1555.60,1574.96,1542.30,,0.84%
07/11/2011,1554.10,1544.05,1557.09,1541.90,,0.64%
07/08/2011,1544.25,1533.85,1547.30,1526.20,,0.76%
07/07/2011,1532.55,1530.10,1536.20,1524.81,,0.20%
07/06/2011,1529.50,1517.64,1535.45,1511.89,,0.87%
07/05/2011,1516.30,1496.05,1517.09,1493.00,,1.36%
07/04/2011,1495.95,1486.50,1497.06,1485.91,,0.64%
07/01/2011,1486.50,1502.84,1504.19,1480.01,,-0.91%
06/30/2011,1500.10,1512.05,1514.21,1498.70,,-0.79%
06/29/2011,1512.05,1501.80,1513.19,1500.50,,0.74%
06/28/2011,1501.00,1496.70,1506.56,1496.00,,0.27%
06/27/2011,1497.00,1500.50,1507.29,1492.30,,-0.34%
06/24/2011,1502.15,1522.70,1527.41,1500.41,,-1.23%
06/23/2011,1520.85,1549.29,1550.85,1514.70,,-1.74%
06/22/2011,1547.80,1548.45,1559.75,1543.10,,0.10%
06/21/2011,1546.20,1540.45,1548.40,1538.55,,0.37%
06/20/2011,1540.45,1538.90,1546.40,1533.24,,0.06%
06/17/2011,1539.50,1528.85,1542.15,1522.50,,0.70%
06/16/2011,1528.85,1530.09,1532.80,1522.40,,-0.12%
06/15/2011,1530.70,1523.75,1534.25,1514.36,,0.43%
06/14/2011,1524.10,1516.73,1527.80,1513.95,,0.59%
06/13/2011,1515.23,1530.50,1533.06,1511.61,,-1.09%
06/10/2011,1531.90,1545.60,1546.99,1527.74,,-0.81%
06/09/2011,1544.35,1538.80,1551.30,1534.90,,0.44%
06/08/2011,1537.55,1545.75,1548.09,1532.76,,-0.43%
06/07/2011,1544.25,1543.55,1550.50,1536.70,,0.02%
06/06/2011,1544.00,1544.59,1555.30,1542.20,,0.10%
06/03/2011,1542.50,1535.74,1547.46,1525.89,,0.56%
06/02/2011,1533.90,1542.49,1546.16,1521.60,,-0.44%
06/01/2011,1540.70,1535.15,1550.64,1529.55,,0.35%
05/31/2011,1535.35,1539.95,1542.50,1534.26,,-0.20%
05/30/2011,1538.45,1537.24,1540.00,1534.39,,0.12%
05/27/2011,1536.65,1523.59,1540.10,1520.00,,1.16%
05/26/2011,1519.05,1524.26,1531.70,1515.39,,-0.45%
05/25/2011,1525.95,1527.69,1534.10,1523.06,,-0.03%
05/24/2011,1526.40,1518.70,1529.45,1515.00,,0.61%
05/23/2011,1517.20,1512.60,1518.01,1504.05,,0.24%
05/20/2011,1513.55,1495.50,1517.55,1488.95,,1.34%
05/19/2011,1493.60,1498.30,1501.51,1488.40,,-0.23%
05/18/2011,1497.00,1486.30,1501.60,1486.30,,0.68%
05/17/2011,1486.85,1491.20,1499.60,1473.50,,-0.19%
05/16/2011,1489.70,1493.75,1504.90,1487.89,,-0.32%
05/13/2011,1494.55,1506.41,1516.93,1483.03,,-0.55%
05/12/2011,1502.85,1500.25,1508.30,1479.30,,0.17%
05/11/2011,1500.25,1513.25,1526.80,1496.15,,-1.02%
05/10/2011,1515.72,1513.03,1519.65,1506.17,,0.18%
05/09/2011,1513.05,1493.26,1514.31,1489.99,,1.19%
05/06/2011,1495.25,1474.65,1498.59,1471.05,,1.47%
05/05/2011,1473.65,1516.79,1523.69,1464.40,,-2.79%
05/04/2011,1515.95,1537.10,1543.46,1506.50,,-1.36%
05/03/2011,1536.83,1545.34,1551.80,1527.96,,-0.53%
05/02/2011,1545.00,1567.79,1576.29,1540.89,,-1.32%
04/29/2011,1565.60,1536.95,1571.30,1533.00,,1.96%
04/28/2011,1535.45,1527.51,1538.85,1524.25,,0.56%
04/27/2011,1526.90,1506.59,1530.40,1503.30,,1.32%
04/26/2011,1507.05,1505.94,1507.91,1493.00,,-0.01%
04/25/2011,1507.25,1511.45,1520.10,1503.70,,-0.06%
04/22/2011,1508.13,1507.35,1512.95,1502.15,,0.25%
04/21/2011,1504.35,1503.49,1510.75,1502.35,,0.13%
04/20/2011,1502.35,1497.30,1507.70,1495.16,,0.48%
04/19/2011,1495.10,1497.29,1501.31,1489.30,,-0.03%
04/18/2011,1495.51,1486.43,1497.64,1477.59,,0.61%
04/15/2011,1486.50,1476.79,1489.90,1473.20,,0.79%
04/14/2011,1474.90,1459.15,1477.30,1454.80,,1.18%
